id,wine_name,winery_id,appellation_id,wine_year,wine_varietal_id,create_dt,bottle_size,image_file,overall_rating,description,upc_barcode,update_dt
60,"Blend Fleur de Montagne",21,49,2007,103,"2013-11-25 20:00:59",750ml,label_image_00000.jpg,89,"Blend Fleur de Montagne",NULL,NULL
61,"Picnic Hill Vineyards",22,17,2011,101,"2013-11-25 20:00:60",750ml,label_image_00000.jpg,89,"Picnic Hill Vineyards",NULL,NULL
62,Alitia,22,17,2008,101,"2013-11-25 20:00:61",750ml,label_image_00000.jpg,89,Alitia,NULL,NULL
63,"Paso Robles",23,116,2006,88,"2013-11-25 20:00:62",750ml,label_image_00000.jpg,89,"Paso Robles",NULL,NULL
64,"San Luis Obispo",24,116,2009,103,"2013-11-25 20:00:63",750ml,label_image_00000.jpg,89,"San Luis Obispo",NULL,NULL
65,"Reserve Amador County",2,17,2006,7,"2013-11-25 20:00:64",750ml,label_image_00000.jpg,89,"Reserve Amador County",NULL,NULL
66,"Reserve Amador County",2,17,2006,7,"2013-11-25 20:00:65",750ml,label_image_00000.jpg,89,"Reserve Amador County",NULL,NULL
67,"Reserve Sierra Oaks Vineyard El Dorado",2,46,2007,47,"2013-11-25 20:00:66",750ml,label_image_00000.jpg,89,"Reserve Sierra Oaks Vineyard El Dorado",NULL,NULL
68,"Reserve El Dorado Sierra Oaks",2,46,2007,47,"2013-11-25 20:00:67",750ml,label_image_00000.jpg,89,"Reserve El Dorado Sierra Oaks",NULL,NULL
69,"Sierra Oaks Vineyard",2,46,2007,47,"2013-11-25 20:00:68",750ml,label_image_00000.jpg,89,"Sierra Oaks Vineyard",NULL,NULL
70,Reserve,2,49,2007,88,"2013-11-25 20:00:69",750ml,label_image_00000.jpg,89,Reserve,NULL,NULL
71,Reserve,2,49,2007,88,"2013-11-25 20:00:70",750ml,label_image_00000.jpg,89,Reserve,NULL,NULL
72,"Estate El Dorado",2,49,2007,90,"2013-11-25 20:00:71",750ml,label_image_00000.jpg,89,"Estate El Dorado",NULL,NULL
73,"Reserve El Dorado",2,49,2007,101,"2013-11-25 20:00:72",750ml,label_image_00001.jpg,93,"Reserve El Dorado",NULL,NULL
74,Amador,2,17,2005,101,"2013-11-25 20:00:73",750ml,label_image_00000.jpg,89,Amador,NULL,NULL
75,"Amador ReZerve",3,17,2007,71,"2013-12-16 14:39:05",750ml,label_image_00004.jpg,91,"Really good wine and a great value for the price",NULL,NULL
76,"Temprance Tarts Naughty Bawdy",13,17,nv,103,"2013-12-16 14:40:00",1L,label_image_00005.jpg,90,"Nice standard table wine in a 1 liter jug.  Fun to take to parties.",NULL,NULL
